,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
112,Above the Break 3,Left Side Center(LC),26,-117,236,1
113,Restricted Area,Center(C),2,-8,27,1
114,In The Paint (Non-RA),Center(C),6,-5,64,0
115,In The Paint (Non-RA),Center(C),5,46,24,0
116,Above the Break 3,Left Side Center(LC),26,-177,203,0
117,Restricted Area,Center(C),2,-10,25,1
118,In The Paint (Non-RA),Center(C),4,33,26,0
119,Restricted Area,Center(C),1,-12,5,1
120,Restricted Area,Center(C),1,-18,-8,1
121,Right Corner 3,Right Side(R),23,236,-1,0
122,Restricted Area,Center(C),0,5,4,1
123,In The Paint (Non-RA),Center(C),10,-43,99,1
124,Above the Break 3,Left Side Center(LC),24,-217,124,0
125,In The Paint (Non-RA),Center(C),4,32,25,1
126,Mid-Range,Left Side Center(LC),19,-122,146,0
127,In The Paint (Non-RA),Center(C),6,9,61,1
128,Mid-Range,Left Side(L),9,-86,35,1
129,Above the Break 3,Right Side Center(RC),26,130,235,0
130,In The Paint (Non-RA),Center(C),9,16,98,0
131,Mid-Range,Left Side(L),12,-102,64,1
132,In The Paint (Non-RA),Center(C),7,-14,77,1
133,Restricted Area,Center(C),1,-18,8,1
134,Above the Break 3,Right Side Center(RC),25,133,221,0
135,Above the Break 3,Right Side Center(RC),25,239,92,1
136,Restricted Area,Center(C),2,-26,4,1
137,Right Corner 3,Right Side(R),24,229,87,1
138,Right Corner 3,Right Side(R),23,231,34,0
139,Mid-Range,Right Side Center(RC),18,142,111,0
140,Restricted Area,Center(C),2,11,17,0
141,Above the Break 3,Center(C),25,36,250,1
142,Above the Break 3,Left Side Center(LC),24,-190,162,0
143,Left Corner 3,Left Side(L),23,-232,-16,1
144,Above the Break 3,Center(C),26,78,251,1
145,In The Paint (Non-RA),Center(C),6,57,34,0
146,Restricted Area,Center(C),1,-5,15,1
147,Restricted Area,Center(C),2,-21,-2,0
148,Left Corner 3,Left Side(L),23,-236,-1,0
149,Restricted Area,Center(C),2,-14,23,0
150,Restricted Area,Center(C),0,-2,6,1
