,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
954,In The Paint (Non-RA),Center(C),7,17,74,1
955,Above the Break 3,Right Side Center(RC),26,180,198,0
956,Mid-Range,Left Side(L),10,-97,29,1
957,In The Paint (Non-RA),Center(C),10,3,104,0
958,Mid-Range,Right Side(R),10,92,48,1
959,Right Corner 3,Right Side(R),23,226,78,0
960,Above the Break 3,Right Side Center(RC),26,167,201,0
961,Left Corner 3,Left Side(L),22,-226,34,0
962,Above the Break 3,Right Side Center(RC),26,196,181,0
963,Above the Break 3,Left Side Center(LC),33,-114,316,0
964,Mid-Range,Center(C),20,-29,205,0
965,In The Paint (Non-RA),Center(C),4,8,42,1
966,In The Paint (Non-RA),Center(C),8,2,83,1
967,Left Corner 3,Left Side(L),23,-230,64,0
968,Restricted Area,Center(C),0,4,6,1
969,Above the Break 3,Left Side Center(LC),25,-217,126,0
970,Restricted Area,Center(C),1,-3,11,1
971,Restricted Area,Center(C),2,-23,2,1
972,Above the Break 3,Left Side Center(LC),25,-210,147,0
973,In The Paint (Non-RA),Center(C),6,54,28,0
974,Above the Break 3,Right Side Center(RC),25,152,210,0
975,Left Corner 3,Left Side(L),22,-228,15,1
976,Left Corner 3,Left Side(L),23,-231,25,0
977,Above the Break 3,Center(C),26,60,257,0
978,Mid-Range,Right Side(R),11,95,64,0
979,Above the Break 3,Right Side Center(RC),26,134,230,1
980,Restricted Area,Center(C),2,23,10,1
981,Restricted Area,Center(C),1,-18,-1,1
982,In The Paint (Non-RA),Left Side(L),9,-53,83,1
983,Restricted Area,Center(C),1,19,3,0
984,Left Corner 3,Left Side(L),22,-222,8,1
985,Above the Break 3,Right Side Center(RC),26,90,250,1
986,Restricted Area,Center(C),2,24,15,1
987,In The Paint (Non-RA),Left Side(L),9,-67,66,1
988,Restricted Area,Center(C),2,20,3,1
989,In The Paint (Non-RA),Center(C),5,32,44,0
990,Restricted Area,Center(C),3,-30,4,1
991,Restricted Area,Center(C),3,-24,26,0
992,In The Paint (Non-RA),Center(C),14,57,128,1
993,Left Corner 3,Left Side(L),23,-235,4,0
994,Above the Break 3,Right Side Center(RC),25,128,220,0
995,In The Paint (Non-RA),Center(C),8,2,85,0
996,Above the Break 3,Left Side Center(LC),25,-193,169,0
997,Restricted Area,Center(C),3,0,36,1
998,In The Paint (Non-RA),Center(C),7,-45,63,0
