,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
317,In The Paint (Non-RA),Center(C),7,49,55,1
318,Above the Break 3,Center(C),28,71,271,0
319,Above the Break 3,Right Side Center(RC),26,166,204,1
320,Mid-Range,Right Side(R),18,155,92,1
321,In The Paint (Non-RA),Center(C),13,57,117,1
322,Mid-Range,Center(C),18,-26,188,1
323,Above the Break 3,Right Side Center(RC),26,188,187,0
324,Restricted Area,Center(C),1,-15,9,0
325,Above the Break 3,Right Side Center(RC),25,172,183,1
326,Above the Break 3,Left Side Center(LC),27,-92,258,0
327,Above the Break 3,Right Side Center(RC),24,92,231,0
328,Above the Break 3,Left Side Center(LC),25,-213,142,0
329,In The Paint (Non-RA),Center(C),7,-5,75,0
330,Above the Break 3,Right Side Center(RC),25,168,189,0
331,Above the Break 3,Left Side Center(LC),27,-174,217,0
332,In The Paint (Non-RA),Center(C),8,14,81,0
333,Above the Break 3,Left Side Center(LC),26,-201,174,1
334,Above the Break 3,Left Side Center(LC),24,-225,102,1
335,Above the Break 3,Left Side Center(LC),31,-122,287,1
336,Above the Break 3,Center(C),26,41,259,1
337,Right Corner 3,Right Side(R),22,222,50,0
338,Above the Break 3,Center(C),31,-5,310,1
339,Above the Break 3,Left Side Center(LC),26,-161,214,1
340,Above the Break 3,Right Side Center(RC),26,162,214,1
341,Above the Break 3,Left Side Center(LC),32,-154,286,1
342,Above the Break 3,Center(C),27,65,267,1
343,Restricted Area,Center(C),1,13,14,1
344,Restricted Area,Center(C),2,20,9,0
345,Above the Break 3,Left Side Center(LC),24,-97,230,1
346,Above the Break 3,Left Side Center(LC),24,-79,237,1
347,Restricted Area,Center(C),2,0,25,1
348,Restricted Area,Center(C),1,17,5,1
349,Above the Break 3,Left Side Center(LC),24,-114,222,0
350,Restricted Area,Center(C),3,9,35,0
351,Restricted Area,Center(C),3,25,21,1
352,Restricted Area,Center(C),0,5,4,1
353,Restricted Area,Center(C),0,3,8,1
354,Above the Break 3,Center(C),24,54,237,0
355,Left Corner 3,Left Side(L),23,-237,26,0
356,Restricted Area,Center(C),1,8,-7,1
357,Restricted Area,Center(C),1,9,13,0
358,Mid-Range,Center(C),18,46,184,0
359,Above the Break 3,Center(C),24,-73,237,0
360,Above the Break 3,Right Side Center(RC),25,196,167,0
361,Above the Break 3,Center(C),25,27,252,0
362,Restricted Area,Center(C),1,17,1,1
363,Above the Break 3,Right Side Center(RC),24,165,184,0
364,In The Paint (Non-RA),Center(C),7,1,77,0
365,Above the Break 3,Left Side Center(LC),27,-89,257,0
366,In The Paint (Non-RA),Center(C),7,-8,75,0
367,Above the Break 3,Center(C),28,-67,272,0
368,Restricted Area,Center(C),1,0,16,1
369,Above the Break 3,Left Side Center(LC),26,-109,247,0
370,Above the Break 3,Right Side Center(RC),27,192,191,1
371,Mid-Range,Center(C),20,-46,199,1
372,Restricted Area,Center(C),0,-4,-2,0
373,Restricted Area,Center(C),0,5,4,0
374,Above the Break 3,Center(C),27,-30,269,1
375,Above the Break 3,Center(C),26,-81,250,0
376,In The Paint (Non-RA),Center(C),10,40,100,0
377,Above the Break 3,Right Side Center(RC),25,184,173,0
378,Mid-Range,Center(C),14,0,149,0
379,Above the Break 3,Center(C),25,78,247,0
380,Restricted Area,Center(C),1,-12,1,1
381,Restricted Area,Center(C),1,2,10,0
382,Restricted Area,Center(C),0,0,0,0
383,In The Paint (Non-RA),Center(C),4,-6,47,0
384,Above the Break 3,Center(C),25,-2,253,1
385,Above the Break 3,Center(C),25,-40,252,0
386,Mid-Range,Right Side(R),19,171,89,0
387,Restricted Area,Center(C),0,2,0,1
388,Above the Break 3,Right Side Center(RC),25,114,230,1
389,Above the Break 3,Left Side Center(LC),25,-158,205,0
390,Mid-Range,Right Side(R),10,92,59,0
391,Above the Break 3,Center(C),24,43,246,1
392,Above the Break 3,Center(C),25,21,256,0
393,Above the Break 3,Left Side Center(LC),26,-111,241,1
394,Mid-Range,Center(C),19,45,192,0
395,Above the Break 3,Right Side Center(RC),25,148,205,1
396,Mid-Range,Left Side(L),15,-102,116,1
397,Above the Break 3,Center(C),27,65,263,0
398,Above the Break 3,Left Side Center(LC),25,-233,95,1
399,Mid-Range,Center(C),17,-11,174,1
400,Mid-Range,Left Side(L),13,-108,84,0
401,Restricted Area,Center(C),2,5,24,1
402,Restricted Area,Center(C),1,-8,6,1
403,Mid-Range,Left Side Center(LC),19,-62,184,1
404,Above the Break 3,Center(C),26,-79,255,0
405,In The Paint (Non-RA),Center(C),7,7,74,1
406,Mid-Range,Center(C),15,46,150,1
407,Above the Break 3,Center(C),28,-60,274,1
408,Above the Break 3,Right Side Center(RC),25,211,144,0
409,Mid-Range,Center(C),17,-22,172,0
410,Above the Break 3,Right Side Center(RC),26,122,233,1
411,Restricted Area,Center(C),1,-13,7,0
412,Above the Break 3,Left Side Center(LC),26,-171,201,0
413,Above the Break 3,Left Side Center(LC),25,-138,210,0
414,Mid-Range,Center(C),18,1,184,1
415,In The Paint (Non-RA),Center(C),8,34,78,0
416,Above the Break 3,Right Side Center(RC),27,162,227,0
417,Above the Break 3,Left Side Center(LC),26,-185,196,1
418,Above the Break 3,Right Side Center(RC),25,218,126,0
419,In The Paint (Non-RA),Center(C),4,16,46,0
420,Mid-Range,Left Side Center(LC),20,-100,175,0
421,In The Paint (Non-RA),Center(C),13,22,133,0
422,Above the Break 3,Right Side Center(RC),25,123,218,1
423,In The Paint (Non-RA),Center(C),4,40,11,0
424,Above the Break 3,Left Side Center(LC),26,-92,253,1
425,Above the Break 3,Center(C),25,-20,257,0
426,Restricted Area,Center(C),2,-20,10,1
427,Left Corner 3,Left Side(L),23,-230,6,0
428,Above the Break 3,Left Side Center(LC),26,-111,237,1
429,In The Paint (Non-RA),Center(C),12,38,120,1
430,Mid-Range,Center(C),21,41,206,1
431,Restricted Area,Center(C),2,5,23,1
432,Above the Break 3,Right Side Center(RC),38,147,353,0
433,Restricted Area,Center(C),1,8,9,0
434,Mid-Range,Center(C),17,25,174,0
435,Above the Break 3,Center(C),26,-11,266,0
436,Above the Break 3,Right Side Center(RC),27,111,256,0
437,Above the Break 3,Center(C),26,68,261,0
438,Mid-Range,Center(C),17,18,171,0
439,Above the Break 3,Right Side Center(RC),25,115,224,0
440,Mid-Range,Right Side(R),11,101,47,0
441,Left Corner 3,Left Side(L),24,-236,47,1
442,Above the Break 3,Right Side Center(RC),27,115,246,0
443,Left Corner 3,Left Side(L),23,-232,23,1
444,Mid-Range,Center(C),19,-45,193,1
445,Above the Break 3,Left Side Center(LC),25,-208,143,0
446,Restricted Area,Center(C),1,5,17,1
447,Above the Break 3,Center(C),26,35,262,0
448,Mid-Range,Center(C),18,37,184,1
449,Above the Break 3,Center(C),26,46,256,1
450,Above the Break 3,Center(C),28,-54,283,0
451,In The Paint (Non-RA),Center(C),6,-62,7,1
452,In The Paint (Non-RA),Center(C),13,-62,117,0
453,Above the Break 3,Right Side Center(RC),26,192,181,1
454,Left Corner 3,Left Side(L),23,-232,-3,0
455,Restricted Area,Center(C),2,5,27,1
456,In The Paint (Non-RA),Center(C),10,-24,104,1
457,Mid-Range,Center(C),16,11,168,0
458,Restricted Area,Center(C),2,11,22,1
459,Above the Break 3,Right Side Center(RC),28,175,227,0
460,Above the Break 3,Center(C),27,-70,263,1
461,Above the Break 3,Right Side Center(RC),28,138,247,0
462,Mid-Range,Right Side Center(RC),20,84,185,0
463,Above the Break 3,Left Side Center(LC),25,-129,221,1
464,Above the Break 3,Center(C),26,23,264,0
465,Above the Break 3,Center(C),26,-22,262,1
466,Mid-Range,Center(C),18,40,185,0
467,Mid-Range,Center(C),18,3,186,0
468,Above the Break 3,Center(C),26,81,252,0
469,Above the Break 3,Left Side Center(LC),26,-182,195,0
470,Right Corner 3,Right Side(R),23,230,31,1
471,Mid-Range,Right Side Center(RC),18,62,179,1
472,Restricted Area,Center(C),3,16,27,0
473,Above the Break 3,Center(C),26,-43,257,1
474,Above the Break 3,Right Side Center(RC),30,185,237,0
475,Restricted Area,Center(C),1,-4,11,1
476,Above the Break 3,Left Side Center(LC),26,-127,236,0
477,Restricted Area,Center(C),2,-2,21,0
478,Above the Break 3,Center(C),26,-74,251,0
479,Restricted Area,Center(C),3,8,29,0
480,Restricted Area,Center(C),0,6,2,0
481,In The Paint (Non-RA),Center(C),5,16,55,1
482,Mid-Range,Center(C),18,3,186,0
483,Restricted Area,Center(C),1,9,5,0
484,Mid-Range,Left Side Center(LC),22,-117,195,0
485,Restricted Area,Center(C),1,10,4,0
486,In The Paint (Non-RA),Center(C),12,59,115,1
487,Above the Break 3,Left Side Center(LC),26,-180,196,0
488,Mid-Range,Center(C),20,2,202,0
489,Above the Break 3,Right Side Center(RC),24,182,168,1
490,Above the Break 3,Center(C),24,-57,236,1
491,Mid-Range,Right Side(R),15,150,9,0
492,Above the Break 3,Right Side Center(RC),25,122,222,0
493,Restricted Area,Center(C),1,14,8,0
494,Above the Break 3,Right Side Center(RC),24,187,155,0
495,Above the Break 3,Center(C),24,-67,236,0
496,Restricted Area,Center(C),1,-11,10,0
497,Above the Break 3,Center(C),24,-49,243,0
498,Above the Break 3,Right Side Center(RC),25,144,209,0
499,Above the Break 3,Right Side Center(RC),25,115,224,0
500,Mid-Range,Center(C),21,-19,214,0
501,Above the Break 3,Right Side Center(RC),25,105,237,1
502,Above the Break 3,Left Side Center(LC),35,-208,290,1
503,Above the Break 3,Left Side Center(LC),27,-87,262,1
504,Above the Break 3,Left Side Center(LC),26,-163,214,1
505,Above the Break 3,Left Side Center(LC),24,-228,97,0
506,Above the Break 3,Right Side Center(RC),24,106,225,0
507,Restricted Area,Center(C),2,22,14,1
508,Restricted Area,Center(C),0,-2,6,1
509,Above the Break 3,Left Side Center(LC),25,-109,231,1
510,Above the Break 3,Right Side Center(RC),26,215,152,0
511,In The Paint (Non-RA),Center(C),6,-29,55,0
512,Above the Break 3,Right Side Center(RC),26,155,211,0
513,In The Paint (Non-RA),Right Side(R),8,65,55,0
514,Left Corner 3,Left Side(L),22,-226,5,0
515,Restricted Area,Center(C),2,-9,28,0
516,Above the Break 3,Left Side Center(LC),26,-180,194,0
517,Mid-Range,Right Side(R),21,195,81,0
518,Mid-Range,Left Side(L),20,-169,115,1
519,Mid-Range,Left Side Center(LC),21,-126,169,0
520,In The Paint (Non-RA),Center(C),4,49,4,1
521,Mid-Range,Left Side(L),10,-103,26,0
522,In The Paint (Non-RA),Center(C),4,-38,15,0
523,In The Paint (Non-RA),Center(C),5,-9,55,0
524,Mid-Range,Center(C),20,-16,201,0
525,Left Corner 3,Left Side(L),23,-230,-6,0
526,Above the Break 3,Left Side Center(LC),26,-166,206,0
527,Above the Break 3,Left Side Center(LC),25,-192,168,1
528,Above the Break 3,Left Side Center(LC),25,-176,183,1
529,Right Corner 3,Right Side(R),23,236,-4,0
530,Above the Break 3,Left Side Center(LC),29,-106,278,1
531,Above the Break 3,Center(C),24,6,249,1
532,Above the Break 3,Right Side Center(RC),33,168,289,1
533,Above the Break 3,Left Side Center(LC),27,-139,241,0
534,In The Paint (Non-RA),Center(C),4,35,30,0
535,Above the Break 3,Center(C),25,-57,251,0
536,Above the Break 3,Center(C),30,-64,294,0
537,Mid-Range,Left Side Center(LC),19,-139,135,1
538,Above the Break 3,Right Side Center(RC),25,164,201,0
539,Above the Break 3,Left Side Center(LC),27,-166,225,1
540,Right Corner 3,Right Side(R),24,232,73,0
541,Left Corner 3,Left Side(L),23,-233,27,1
542,In The Paint (Non-RA),Center(C),5,-41,43,0
543,Above the Break 3,Right Side Center(RC),25,101,231,1
544,Above the Break 3,Left Side Center(LC),25,-213,137,1
545,In The Paint (Non-RA),Center(C),5,18,49,0
546,Restricted Area,Center(C),1,2,12,0
547,In The Paint (Non-RA),Center(C),4,-45,21,0
548,In The Paint (Non-RA),Center(C),5,51,-9,0
549,In The Paint (Non-RA),Center(C),4,36,34,0
550,Above the Break 3,Left Side Center(LC),27,-106,259,1
551,In The Paint (Non-RA),Center(C),4,44,15,0
